"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"North York Moors (England)--Periodicals","geographical term","009916847","Serial","Language material ; Text","Volume","GBA307643","","North York Moors National Park Authority","","organisation","","North York Moors National Park Authority [organisation]","Best value performance plan : incorporating annual report","Best value performance plan (North York Moors National Park Authority)","","","England","Helmsley ; Old Vicarage, Bondgate, Helmsley, York YO62 5BP","North York Moors National Park Authority","2000-2007","","volumes, illustrations, maps, 30 cm","333.780942846","ZK.9.b.18539","Periodical","English","Continued in part by: North York Moors National Park Authority. Annual performance plan and report ; Continues: North York Moors National Park Authority. Annual report (North York Moors National Park) ; Description based on: 2001 issue"
"North York Moors (England)--Pictorial works","geographical term","013014508","Monograph","Language material ; Text","Computer disc","GBA477771","9780954819606","Titchmarsh, David","","person","","Titchmarsh, David [person]","North York Moor tour","","","","England","Thirsk","Dave Titchmarsh","2004","Version, 1.1","1 CD, colour, 4 3/4 in","914.28460486","EC.2004.x.354","Pictorial work","English","System requirements: IBM compatible PC; Windows 98 or later ; Title from title screen"
"North York Moors National Park (England)","geographical term","008089511","Monograph","Language material ; Text","Volume","GB7833400","9780715376997","Mead, Harry","","person","","Mead, Harry [person]","Inside the North York Moors","","","","England","Newton Abbot","David & Charles","1978","","230 pages, illustrations, 1 map, 23 cm","914.284604857","X.809/43972","","English","Includes index"
"North York Moors National Park (England)","geographical term","010988820","Monograph","Language material ; Text","Volume","GB9873737","9780907480761","North York Moors National Park Authority","","organisation","","North York Moors National Park [organisation] ; North York Moors National Park Authority [organisation]","Measuring change : in the North York Moors National Park","","","","England","Helmsley","North York Moors National Park","1998","","40 pages, illustrations, maps, 30 cm","307.12 ; 910","GPE/3595","","English","'April 1998.'"
"North York Moors National Park (England)","geographical term","011605064","Monograph","Language material ; Text","Volume","GB7222137","9780901350879","Statham, Derek Cyril","","person","","Statham, Derek Cyril [person]","Land use changes in the moorlands of the North York Moors National Park","","University working papers / Centre for Environmental Studies","16 [University working papers / Centre for Environmental Studies]","England","Cambridge Terrace, NW1 4JL ; London","Centre for Environmental Studies","1972","","34, 6 pages, maps, 30 cm","333.780942748","","","English",""
"North York Moors National Park (England)","geographical term","012637869","Monograph","Language material ; Text","Volume","GB8510795","9780709022763","Rhea, Nicholas","1936-2017","person","","Rhea, Nicholas, 1936-2017 [person]","Portrait of the North York Moors","","","","England","London","Hale","1985","","207 pages, 24 pages of plates, illustrations, 1 map, 23 cm","914.284604858","X.809/64388","","English","bibliography: p192-194. _ Includes index"
"North York Moors National Park (England)","geographical term","015179585","Monograph","Language material ; Text","Volume","GBA946522","9781904622239","","","","","North York Moors National Park Authority [organisation]","Levisham & Horcum : a guide for adventurers","Levisham and Horcum : a guide for adventurers","","","England","Helmsley","North York Moors National Park Authority","2009","","33 pages, illustrations, maps, 21 cm","914.28460486","YK.2010.a.14043","Guidebook","English","Title from cover"
"North York Moors National Park (England)","geographical term","016246472","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB301673","9780711233805","Bradbury, Julia","","person","author","Bradbury, Julia, author [person]","Julia Bradbury's Wainwright walks. Coast to coast","Wainwright walks","","","England","London","Frances Lincoln","2013","","144 pages, illustrations (black and white and colour), black and white maps, 20 cm","796.51092","YKL.2015.a.7787","","English","Includes index ; TV tie-in"
"North York Moors National Park (England)","geographical term","018925023","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB8L8859","9780956577955","","","","","Cochrane, Janet, editor [person]","The History Tree : Moments in the Lifetime of a Memorable Tree","","","","England","Whitby","North Yorkshire Moors Association","2018","","140 pages, colour illustrations, map (colour), 21 cm","","YKL.2019.a.12159","","English",""
"North York Moors National Park (England)","organisation","010535471","Monograph","Language material ; Text","Volume","GB7719134","","Arnold, Denis V. (Denis Victor)","1915-","person","","Arnold, Denis V. (Denis Victor), 1915- [person]","The North York Moors : some glimpses of their history and a guide to further reading","","","","England","Foxton Mill, Osmotherley, Northallerton ; Northallerton ; Yorkshire","","1977","","18 pages, illustrations, 22 cm","942.846","X.709/25164","","English",""
"North York Moors National Park (England)--Description and travel","geographical term","012989060","Monograph","Language material ; Text","Volume","GBA471127","9780907480525","","","","","North York Moors National Park Authority [organisation]","Newtondale horse trail","","","","England","York","North Moors National Park Authority","1995","","32 pages, colour illustrations, colour maps, 18 cm","914.284604859","YK.2004.a.10635","","English","Cover title"
"North York Moors National Park (England)--Geography","geographical term","006684601","Monograph","Language material ; Text","Sheet","GB9662715","","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors National Park student factfile","","","","England","Danby","Park","1991","","1 portfolio, illustrations (some colour), 31 cm","914.2846","YK.1996.b.12502","","English",""
"North York Moors National Park (England)--Guidebooks","geographical term","007445855","Monograph","Language material ; Text","Volume","GB9602222","9780907480488","","","","","North York Moors National Park [organisation]","Walks from the Moors Centre","","","","England","Helmsley","North York Moors National Park","1995","","23 pages, illustrations, maps, 1 plan, portraits, 21 cm","914.284604859","YK.1996.a.529","Guidebook","English",""
"North York Moors National Park (England)--Guidebooks","geographical term","007445859","Monograph","Language material ; Text","Volume","GB9629485","9780907480594","","","","","North York Moors National Park [organisation]","Sandsend trail : on the North Yorkshire and Cleveland Heritage Coast","","","","England","Helmsley","North York Moors National Park","1996","","16 pages, illustrations (some colour), 21 cm","914.284704859","YK.1996.a.16616","Guidebook","English","Cover title"
"North York Moors National Park (England)--Guidebooks","geographical term","007445864","Monograph","Language material ; Text","Volume","GB9935914","9780907480693","","","","","North York Moors National Park Authority [organisation]","The Hambleton hillside mosaic walk, North York Moors National Park : a regional route, including ordnance survey maps","","","","England","York","North York Moors National Park Authority","1997","","28 pages, colour illustrations, maps, 18 cm","796.510942846","YK.1999.a.3136","Guidebook","English","Cover title"
"North York Moors National Park (England)--Guidebooks","geographical term","007445865","Monograph","Language material ; Text","Volume","GB9907454","9780907480709","","","","","North York Moors National Park [organisation]","Walks around Rosedale Abbey","","","","England","Helmsley","North York Moors National Park","1998","","23 pages, illustrations (some colour), maps, 21 cm","914.284704859","YK.2000.a.4185","Guidebook","English","Cover title"
"North York Moors National Park (England)--Guidebooks","geographical term","007445868","Monograph","Language material ; Text","Volume","GBA007772","9780907480808","North York Moors National Park Authority","","organisation","","North York Moors National Park Authority [organisation]","Walks around Sutton Bank : North York Moors National Park","","","","England","Helmsley","North York Moors National Park","1999","","24 pages, illustrations (some colour), maps, 21 cm","","YK.2003.a.20303","Guidebook","English",""
"North York Moors National Park (England)--Guidebooks","geographical term","008097848","Monograph","Language material ; Text","Volume","GB8701615","9780718126223","Wainwright, Alfred","","person","","Wainwright, Alfred [person] ; Brabbs, Derry [person]","Wainwright's coast to coast walk","","","","England","London","Joseph","1987","","207 pages, illustrations (some colour), maps (some colour), 25 cm","914.2704858","YC.1989.b.1237","Guidebook","English","Includes index"
"North York Moors National Park (England)--Guidebooks","geographical term","008145999","Monograph","Language material ; Text","Volume","GB9587561","9781870141307","Hannon, Paul","1957-","person","","Hannon, Paul, 1957- [person]","North York moors - southern","","Hillside guides. Walking country","","England","Keighley","Hillside","1995","2nd edition","96 pages, illustrations, maps, 18 cm","914.2846","YK.1995.a.8317","Guidebook","English","Includes index"
"North York Moors National Park (England)--Guidebooks","geographical term","008791366","Monograph","Language material ; Text","Volume","GB7628619","9780852063392","Boyes, Malcolm","","person","","Boyes, Malcolm [person] ; Gower, Edward [person] ; Wright, Alec [person]","Exploring the North York Moors","","A Dalesman mini-book","","England","Clapham, N Yorkshire","Dalesman","1976","","64 pages, illustrations, maps, 39 cm","914.284604857","X.0708/257 (42)","Guidebook","English",""
"North York Moors National Park (England)--Guidebooks","geographical term","008791561","Monograph","Language material ; Text","Volume","GB8122925","9780852066362","Teanby, Michael","","person","","Teanby, Michael [person]","The Bilsdale Circuit : a 30-mile challenge walk across the North York Moors","","","","England","Clapham ; Yorkshire","Dalesman","1981","","32 pages, illustrations, maps, 19 cm","796.510942846","X.808/34250","Guidebook","English",""
"North York Moors National Park (England)--Guidebooks","geographical term","009073087","Monograph","Language material ; Text","Volume","GBA0V2465","9781898630166 ; 9781898630388","Sampson, Ian","","person","","Sampson, Ian [person] ; Carstairs, Ian, 1948- [person]","North York moors : the official National Park Guide","","","","England","Newton Abbot","Pevensey","2001","","112 pages, colour illustrations, colour map, 25 cm","914.28460486","","Guidebook","English","Includes index"
"North York Moors National Park (England)--Guidebooks","geographical term","010749082","Monograph","Language material ; Text","Volume","GB8700312","9780863501401","Carstairs, Ian","1948-","person","","Carstairs, Ian, 1948- [person]","The North York Moors National Park","","Official guide / Countryside Commission","","England","Exeter","Webb & Bower","1987","","128 pages, colour illustrations, colour maps, 21 cm","914.284604858","YC.1987.a.10643","Guidebook","English","bibliography: p125. _ Includes index"
