"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Lewis, M. J. T.","1938-","person","","Williams, Merfyn [person] ; Lewis, M. J. T., 1938- [person] ; Snowdonia National Park, Study Centre [organisation]","008821677","Monograph","Language material ; Text","Volume","GB9209974","9780951237359","Gwydir slate quarries","","","","Wales","","Snowdonia National Park Study Centre","1989","","24 pages","338.27540942925","YK.1993.a.8783","Gwynedd (Wales) ; Slate--Production--History","","English",""
"Lewis, M. J. T.","1938-","person","","Williams, Merfyn [person] ; Lewis, M. J. T., 1938- [person]","008821673","Monograph","Language material ; Text","Volume","GB8833249","9780951237311","Pioneers of Ffestiniog slate","","","","Wales","","Snowdonia National Park Study Centre","1987","","31 pages","338.27540942929","YK.1988.a.3451","Gwynedd--Blaenau Ffestiniog--Slate quarrying industrise--history","","English",""
"Lewis, Steve","1960 January 26-","person","","Lewis, Steve, 1960 January 26- [person]","013279574","Monograph","Language material ; Text","Volume","GBA571814","9781843234845 ; 9781843234852","Private views of Snowdonia : essays by the people of the Snowdonia National Park","","","","Wales","Llandysul","Gomer Press","2005","","93 pages, colour illustrations, colour map, colour portraits, 23 x 25 cm","942.925","LC.31.a.4864","Snowdonia National Park (Wales)--Pictorial works","Pictorial work","English","Published in collaboration with the Snowdonia Society ; Title from cover"
"Lewis, Steve","1960 January 26-","person","","Lewis, Steve, 1960 January 26- [person]","016171155","Monograph","Language material ; Text","Volume","GBB292810","","Portfolio 1","Portfolio one","","","Wales","","Stephen Lewis","2007","","39 pages, chiefly colour illustrations, 19 cm","","","Landscape photography--Wales--Snowdonia National Park--Pictorial works ; Landscape photography--Great Britain--Pictorial works ; Snowdonia National Park (Wales)--Pictorial works","Pictorial work","English",""
"Llanfrynach and Cantref Women's Institute","","organisation","","Llanfrynach and Cantref Women's Institute [organisation] ; Brook, Susan [person]","012261713","Monograph","Language material ; Text","Volume","GBA073568","","Where we belong : life in the Beacons - then and now = Ein cynefin : bywyd yn y Bannau - ddoe a heddiw","Ein cynefin","","","Wales","Brecon","Llanfrynach & Cantref Women's Institute","2000","","iii, 174 pages, illustrations, facsimiles, map, portraits, 25 cm","","","Brecon Beacons National Park (Wales)--History ; Brecon Beacons National Park (Wales)--Social life and customs","","English",""
"Llanfrynach and Cantref Women's Institute","","organisation","","Llanfrynach and Cantref Women's Institute [organisation] ; Brook, Susan [person]","015815679","Monograph","Language material ; Text","Volume","GBB185398","9780956837509","Where we belong. 2 = Ein cynefin : bywyd yn y Bannau - ddoe a heddiw : life in the Beacons - then and now","","","","England","Llanfrynach, Brecon","Llanfrynach & Cantref Women's Institute","2011","2nd edition","209 pages, illustrations, facsimiles, maps portraits, 25 cm","942.956","YK.2012.a.13400","Brecon Beacons National Park (Wales)--History ; Brecon Beacons National Park (Wales)--Social life and customs","","English","Originally published: 2000"
"Llywelyn, Malcolm","","person","","Llywelyn, Malcolm [person]","016089788","Monograph","Language material ; Text","Volume","GBB249101","","Bywyd y Bannau : storïau byrion i ddysgwyr","","","","Wales","","Llyfrau Brynach","2011","","28 pages, illustrations (1 colour), 21 cm","","","Brecon Beacons National Park (Wales)--Fiction ; Welsh language--Study and teaching","Fiction","English ; Welsh","'Mae geirfa ac ymarferiadau i bob stori gyda phwyslais ar briod ddulliau.' ; Teitl clawr = Cover title"
"Llywelyn, Malcolm","","person","author","Llywelyn, Malcolm, author [person]","018786447","Monograph","Language material ; Still image ; Text","Volume","GBB848123","9781845242756","Place names in the Brecon Beacons National Park","Place names in the Brecon Beacons","Compact Cymru","","Wales","Llanrwst","Gwasg Carreg Gwalch","2018","","119 pages, colour illustrations, 1 map (colour), 15 x 16 cm","914.29560014","YKL.2019.a.2561","Names, Geographical--Wales--Brecon Beacons National Park ; Brecon Beacons National Park (Wales)--Description and travel","","English ; Welsh","Title from cover"
"Loch Lomond and The Trossachs National Park","","organisation","","Morlaggan Rural Settlement Group [organisation] ; Jackson, Fiona, 1966- [person] ; Furness, Sue [person] ; Loch Lomond and The Trossachs National Park [organisation]","016007696","Monograph","Language material ; Text","Volume","GBB219753","9780955004995","People, pottery and the past : images of community archaeology in Argyll","","","","Scotland","Balloch","Loch Lomond ; Morlaggan Rural Settlement Group ; Trossachs National Park","2011","","64 pages, chiefly illustrations (chiefly colour), colour facsimiles, colour maps, colour portraits, 17 x 25 cm","725.094142","LC.31.a.12280","Excavations (Archaeology)--Scotland--Argyll and Bute--Pictorial works ; Pottery--Scotland--Argyll and Bute--Pictorial works","Pictorial work","English",""
"Loch Lomond and the Trossachs National Park (Scotland)","","organisation","","Loch Lomond and the Trossachs National Park (Scotland) [organisation]","015719549","Monograph","Language material ; Text","Volume","GBB100203","","ScottsLand : celebrate the language of the landscape","","","","Scotland","","Loch Lomond ; Trossachs National Park","2009","","36 pages, colour illustrations, map, 21 cm","","","Loch Lomond and the Trossachs National Park (Scotland)","","English","'Celebrate adventure, celebrate culture, celebrate The Trossachs.' ; Title from cover"
"Loch Lomond and the Trossachs National Park (Scotland)","","organisation","","Roxburgh, Colin [person] ; Loch Lomond and the Trossachs National Park (Scotland) [organisation] ; Tuffs, Alan [person]","013669678","Monograph","Language material ; Text","Volume","GBA711382","9780955004926","Community futures : community engagement in Scotland's first national park","","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2006","","96 pages, colour illustrations, colour portraits, 23 cm","","","National parks and reserves--Scotland--Loch Lomond and the Trossachs National Park--Planning--Citizen participation ; Rural development--Scotland--Loch Lomond and the Trossachs National Park--Citizen participation","","English",""
"Loch Lomond and the Trossachs National Park Authority","","organisation","","British Geological Survey [organisation] ; Great Britain, Ordnance Survey [organisation] ; Woodward, Craig [person] ; Loch Lomond and the Trossachs National Park Authority [organisation]","016003065","Monograph","Cartographic image ; Cartographic material","Volume","GBB230222","9780955004988","Loch Lomond navigation guide","","","","Scotland","Balloch","Loch Lomond ; Trossochs National Park Authority","2011","","1 atla (12 unnumbered pages), colour maps, colour illustrations, 35 x 50 cm","912.4142","Maps.2020.c.28","Navigation--Scotland--Lomond, Loch--Maps ; Lomond, Loch (Scotland)--Maps","Atlas ; Chart ; Map","English","Base maps originally produced by Ordnance Survey ; Includes overview map and safety information ; Relief shown by shading and spot heights. Depths shown by bathymetric tints ; Title from cover"
"Loch Lomond and the Trossachs National Park Authority","","organisation","","Cairngorms National Park Authority [organisation] ; Scottish Natural Heritage (Agency) [organisation] ; Moray House School of Education [organisation] ; Loch Lomond and the Trossachs National Park Authority [organisation] ; Avanté Consulting [organisation]","016551400","Monograph","Language material ; Text","Volume","GBB3A7485","","Getting into Scotland's national parks and national nature reserves : a resource pack","","","","Scotland","","Cairngorms National Park Authority ; Loch Lomond ; Scottish Natural Heritage ; Trossachs National Park Authority","2013","","50 pages, 18 unnumbered pages, colour illustrations, colour maps, 32 cm","","","Natural areas--Public use--Scotland ; National parks and reserves--Public use--Scotland--Loch Lomond and the Trossachs National Park (Scotland) ; Protected areas--Public use--Scotland ; National parks and reserves--Public use--Scotland--Cairngorms National Park (Scotland)","","English","'Information, advice, resources, ideas and a host of helpful contacts for teachers, staff and volunteers supporting visits to Scotland's national parks and national nature reserves.' ; 'This resource pack is one of a series of outputs from an eighteen month research project undertaken by Avanté Consulting and the University of Edinburgh, Moray House School of Education on behalf of the Cairngorms National Park Authority, Loch Lomond and The Trossachs National Park Authority and Scottish Natural Heritage'--Back cover ; In ring binder ; Title from cover"
"Loch Lomond and the Trossachs National Park Authority","","organisation","","Loch Lomond and the Trossachs National Park Authority [organisation]","014628087","Monograph","Language material ; Text","Volume","GBA871854","","Strategic environmental assessment : draft environmental report for the local plan issues report","Draft environmental report for the local plan issues report ; Local plan issues report strategic environmental assessment","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2008","","47 pages, illustrations, map, 30 cm","","","Strategic planning--Environmental aspects--Scotland--Loch Lomond and the Trossach National Park ; Environmental impact assessment--Scotland--Loch Lomond and the Trossachs National Park ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","Cover title"
